sample-id	sample-name	sample-number	type	treatment	tank	genotype
D-T2-2-31	NEI12469A142	142	coral	Dissolved	2	2
M-T4-5-42	NEI12469A143	143	coral	Mix	4	5
C-T3-1-04	NEI12469A149	149	coral	Control	3	1
FL-T2-2-04	NEI12469A150	150	coral	Field	1	2
P-T2-2-05	NEI12469A151	151	coral	Pellets	2	2
FL-T1-3-01	NEI12469A152	152	coral	Field	1	3
M-T3-5-41	NEI12469A154	154	coral	Mix	3	5
Art-03	NEI12469A156	156	diet	Artemia	na	na
Con-DMSO	NEI12469A157	157	control	Control	na	na
D-T2-3-25	NEI12469A158	158	coral	Dissolved	2	3
S-T10-2-07	NEI12469A159	159	coral	SeaSim	1	2
WF-L-01	NEI12469A160	160	water_filter	LiveFeeds	1	na
WF-S-01	NEI12469A164	164	water_filter	SeaSim	1	na
D-T1-3-23	NEI12469A165	165	coral	Dissolved	1	3
WF-L-04	NEI12469A166	166	water_filter	LiveFeeds	4	na
L-T1-5-01	NEI12469A167	167	coral	LiveFeeds	1	5
P-T3-3-05	NEI12469A168	168	coral	Pellets	3	3
D-T3-5-10	NEI12469A171	171	coral	Dissolved	3	5
Rot-01	NEI12469A172	172	diet	Rotifers	na	na
Pel-03	NEI12469A173	173	diet	Pellets	na	na
WF-F-04	NEI12469A174	174	water_filter	Fish	4	na
D-T4-2-36	NEI12469A176	176	coral	Dissolved	4	2
F-T1-3-57	NEI12469A177	177	coral	Fish	1	3
Rot-03	NEI12469A178	178	diet	Rotifers	na	na
F-T1-4-48	NEI12469A179	179	coral	Fish	1	4
C-T2-2-21	NEI12469A180	180	coral	Control	2	2
C-T4-1-29	NEI12469A181	181	coral	Control	4	1
L-T2-2-08	NEI12469A182	182	coral	LiveFeeds	2	2
M-T1-3-55	NEI12469A183	183	coral	Mix	1	3
M-T4-4-11	NEI12469A184	184	coral	Mix	4	4
C-T1-4-45	NEI12469A185	185	coral	Control	1	4
WF-B-01	NEI12469A186	186	water_filter	Banjo	1	na
L-T4-5-13	NEI12469A187	187	coral	LiveFeeds	4	5
F-T2-2-15	NEI12469A188	188	coral	Fish	2	2
D-T1-1-21	NEI12469A189	189	coral	Dissolved	1	1
FL-T6-5-08	NEI12469A190	190	coral	Field	1	5
