treatment,ID,tank_rep_rand,tank_rep,genotype,fragment,rep,moisture_mgg,ash_DW_mgg,organic_DW_mgg,lipid_DW_mgg,lipid_AFDW_mgg,protien_DW_per,protein_AFDW_mgg
Mix,M-T2-4-29,Mix_2,2,4,29,0,93.93145641,952.8197261,47.18027393,9.805878537,207.8385249,0.79,167.4428599
Mix,M-T2-5-30,Mix_2,2,5,30,0,112.2872176,948.8742092,51.12579084,8.716452184,170.490315,0.662,129.4845496
Mix,M-T2-5-35,Mix_2,2,5,35,0,83.65019011,910.1282119,89.87178809,8.159411648,90.78946599,0.328,36.49643642
Mix,M-T3-3-33,Mix_3,3,3,33,0,113.3812633,950.9304564,49.0695436,3.745039683,76.32106207,0.911,185.6548754
Mix,M-T3-4-05,Mix_3,3,4,5,0,101.569412,949.7288049,50.27119508,5.239513648,104.224967,0.719,143.0242505
Mix,M-T3-4-18,Mix_3,3,4,18,0,100.8264314,944.2268363,55.77316371,3.90911312,70.08949931,0.516,92.51761342
Mix,M-T3-5-16,Mix_3,3,5,16,0,96.36594005,956.744681,43.25531896,7.399814517,171.0729384,0.385,89.00639488
Mix,M-T3-5-41,Mix_3,3,5,41,0,95.25945865,941.3725437,58.62745625,8.149389042,139.0029444,0.417,71.12708391
Mix,M-T4-2-02,Mix_4,4,2,2,0,108.5356375,930.4793545,69.52064547,9.761399002,140.4100744,0.561,80.6954533
Mix,M-T4-3-14,Mix_4,4,3,14,0,66.90931898,923.8995488,76.10045123,4.080778,53.62357167,0.347,45.59762714
Mix,M-T4-4-11,Mix_4,4,4,11,0,92.60472436,937.5894997,62.41050028,12.19619327,195.4189313,0.303,48.5495227
Mix,M-T4-4-26,Mix_4,4,4,26,0,107.9175072,942.4232099,57.57679015,5.881478545,102.1501638,0.674,117.0610585
Mix,M-T4-5-42,Mix_4,4,5,42,0,64.53429719,949.5179723,50.48202766,8.033011036,159.1261566,0.461,91.31962827
LiveFeeds,L-T1-2-01,LiveFeeds_1,1,2,1,0,153.6291511,943.8470374,56.15296261,4.115246098,73.2863576,0.841,149.7694798
LiveFeeds,L-T1-2-22,LiveFeeds_1,1,2,22,0,140.2234886,960.8979483,39.10205169,10.73892611,274.6384305,0.945,241.6752981
LiveFeeds,L-T1-3-15,LiveFeeds_1,1,3,15,0,86.35111495,960.0688066,39.93119343,7.446401225,186.4808083,0.577,144.4985613
LiveFeeds,L-T1-4-27,LiveFeeds_1,1,4,27,0,146.8243182,932.6752453,67.32475469,9.725189357,144.4519093,1.109,164.7239571
LiveFeeds,L-T1-5-01,LiveFeeds_1,1,5,1,0,117.2687758,958.79555,41.20445005,4.262642309,103.4510181,0.623,151.1972613
LiveFeeds,L-T2-2-08,LiveFeeds_2,2,2,8,0,156.6187943,929.5946126,70.40538741,4.753402181,67.51475073,0.923,131.0979222
LiveFeeds,L-T2-3-20,LiveFeeds_2,2,3,20,0,58.56705161,927.0657897,72.93421029,5.538446733,75.93757046,0.482,66.08695673
LiveFeeds,L-T2-3-38,LiveFeeds_2,2,3,38,0,67.88830716,953.2092942,46.79070578,5.745447463,122.7903569,0.573,122.4602173
LiveFeeds,L-T2-4-42,LiveFeeds_2,2,4,42,0,139.5812016,946.4353989,53.56460111,4.502697799,84.06107215,1.03,192.2911734
LiveFeeds,L-T2-5-33,LiveFeeds_2,2,5,33,0,73.8588596,957.7821782,42.21782178,8.50547382,201.4664296,0.438,103.7476548
LiveFeeds,L-T3-1-13,LiveFeeds_3,3,1,13,0,129.9710644,935.1941585,64.80584155,6.470671645,99.84704297,0.856,132.0868582
LiveFeeds,L-T3-1-19,LiveFeeds_3,3,1,19,0,128.4107654,923.427104,76.572896,6.88230265,89.87909574,0.753,98.33766768
LiveFeeds,L-T3-2-04,LiveFeeds_3,3,2,4,0,111.5554883,944.1119946,55.88800539,10.51220965,188.0941997,0.849,151.9109501
LiveFeeds,L-T3-2-32,LiveFeeds_3,3,2,32,0,126.9884904,929.1339202,70.86607985,6.92214407,97.67922939,0.629,88.7589664
LiveFeeds,L-T3-5-21,LiveFeeds_3,3,5,21,0,62.20943627,946.9612997,53.03870028,3.107600057,58.59118042,0.305,57.50517988
LiveFeeds,L-T4-1-33,LiveFeeds_4,4,1,33,0,133.9996048,915.6703635,84.32963649,7.57344525,89.80763543,0.72,85.37923677
LiveFeeds,L-T4-1-40,LiveFeeds_4,4,1,40,0,156.6126095,936.5721213,63.42787871,8.374720031,132.0353164,0.924,145.6772667
LiveFeeds,L-T4-3-43,LiveFeeds_4,4,3,43,0,101.4306695,931.358858,68.64114201,4.181478017,60.91795524,0.777,113.1974173
LiveFeeds,L-T4-5-13,LiveFeeds_4,4,5,13,0,91.64757,948.1130413,51.88695867,6.61173049,127.4256703,0.824,158.806764
