10:00,11:00,12:00,UNK1,UNK2,UNK3,14:00,14:1n-5,15:00,15:1n-5,16:00,16:1n-7,17:00,16:2n-4,17:1n-7,16:3n-4,UNK4,18:00,18:1n-9 t,18:1n-7 t,18:1n-9,18:1n-7,18:2n-6 t,18:2n-6,18:3n-6,18:3n-4,18:3n-3,20:00,18:4n-3,20:1n-11,20:1n-9,21:00,20:2n-6,20:3n-6,20:4n-6,20:3n-3,22:00,20:4n-3,22:1n-11,22:1n-9,20:5n-3,22:2n-6,22:4n-6,24:00:00,22:5n-3,22:6n-3,24:5n-3,24:6n-3
0,0,0.083523639,0.215688892,0,0,2.934436282,0,1.144639658,0.146384554,29.21610611,1.796176691,15.91903408,0.83976988,0.112029773,0,3.35007409,9.241035444,0,0,1.791416278,0.382931411,0,0.880790367,1.38941504,0.296533021,0.550382385,1.632872791,3.329348347,0,0.534980763,0.398504052,0.268225319,1.933563848,2.912570254,0,0.210909021,0.910917658,0,0,3.791685908,0,2.293887649,0.234376243,0.86091827,9.402846559,0,0
0,0,0.117372557,0.237068006,0.074079904,0.138979758,3.361833176,0.088204945,1.273743665,0.103679206,29.74099028,1.859371065,14.72217492,0.695054128,0.144444433,0.19260353,3.156468268,7.751231107,0,0,2.972330835,0.373898281,0,0.820537983,1.253310534,0.271680045,0.385148471,1.29978784,3.655922333,0,0.938329536,0.232346346,0.247273086,1.658679466,3.181284061,0,0.129479404,0.813889041,0,0.071242505,4.548197674,0,1.863189333,0.225274739,0.853473425,9.952598974,0,0
0,0,0.179142729,0.567890266,0.148629126,0.317775851,3.501633248,0.097402473,0.70762681,0.136754452,22.66010529,1.949663638,8.013293117,0.488310758,0.224121993,0.379808105,3.848707277,6.98767982,0,0,1.75146155,0.458372267,0,0.87973586,1.625704853,0.402841567,0.596667051,1.136314053,7.765417761,0,0.421173815,0.2626879,0.253317905,1.150796637,5.94999726,0,0,0.621820291,0,1.016806017,10.23200728,0,2.369974811,0.3064624,1.427381668,10.68339072,0,0
0,0,0.173833153,0.468731828,0.134324021,0.269683649,3.324303265,0,0.827011941,0.304680902,23.73679605,1.731672326,8.523034727,0.544984718,0.191846452,0.321319473,3.495357954,6.803046227,0,0,2.410496762,0.505553309,0,1.296688193,1.750882733,0.514305021,0.773126015,1.203834505,6.228516524,0,0.563183883,0.412047272,0.280125404,1.297461083,6.782678317,0,0,0.671235271,0,1.221983775,8.09485118,0,1.742676651,0.473084988,1.042218944,9.986172423,0.504029554,0.296213508
0.139790545,0,0.163250646,0.263727181,0.085986565,0.144885079,3.521658459,0,0.73800491,0.121040201,27.02681895,2.253071488,10.4353666,0.582377515,0.145692005,0.240287909,2.399629437,7.405251592,0,0,2.592705678,0.431566446,0,1.652898766,2.527536101,0.421446593,0.572874982,1.299915304,4.904538459,0,0.788947126,0,0.382167507,2.61793227,4.831141749,0,0,0.751542771,0,1.086826747,6.260724843,0,1.413225518,0.361129359,0.8432072,10.07662878,0,0
0,0,0.105999303,0.249341843,0.070868518,0.162288256,3.236468499,0.072039106,1.219649063,0.103116216,28.72490588,1.980453708,15.62826062,0.751883479,0.126438901,0.171630062,3.534807016,8.484127346,0,0,1.782818537,0.351726765,0,0.649331328,1.280513276,0.262327488,0.300249097,1.43025015,3.81325614,0,0.560463444,0.346302834,0.224265509,1.703482865,3.292312834,0,0,0.805046025,0,0,4.812170517,0,2.033050553,0.218037218,0.925391468,10.26428091,0,0
0.102143587,0,0.143533114,0.304316662,0.110451567,0.177048626,3.562685171,0.088609002,1.159456542,0.122459086,26.60607347,1.894035821,13.83073609,0.680386194,0.140135307,0.195209615,3.898946278,8.052528783,0,0,1.822284508,0.374902564,0,0.816692567,1.348681779,0.272067189,0.475868201,1.348355503,4.544958596,0,0.463820166,0.337488382,0.230818558,1.572208357,3.928645073,0,0,0.788784962,0,0.833111765,5.586418857,0,2.364417181,0.304877436,1.009170376,10.12967203,0,0
0,0,0.159413327,0.680581022,0.167575265,0.400597491,2.971575728,0,0.698722972,0.215486463,19.48785905,1.679568608,6.753401876,0.509808042,0.246844041,0.443399554,5.043155882,5.895907821,0,0,1.646035135,0.353307023,0,0.863227766,1.413934426,0.618683657,0.693615057,0.906153719,7.845367242,0,0.330209055,0.377433384,0.291769712,0.957057007,8.121382002,0,0,0.543574206,0,1.768339121,11.31012309,0,2.664496308,0.370503044,1.453619003,11.00276107,0,0.285697844
0,0,0,0.481678757,0.124114263,0.242670286,3.230571483,0,0.753349925,0.297007259,26.17270095,2.044556506,8.80665921,0.513176597,0.130748647,0.236970617,5.499923878,10.52549228,0,0,2.127644136,0.488637725,0,1.027172389,1.676289863,0.48877234,0.467613156,1.532953579,4.443430593,0,0.734130579,0.361527386,0.304427356,1.560741763,4.561558687,0,0,0.60818805,0,0.640431844,5.816265978,0,3.801728836,0.313848308,0.910016809,7.18792243,0,0
0.090491406,0,0.116094577,0.208096734,0,0.172839186,3.304300222,0.075752337,1.135251178,0.171875823,29.04030258,1.940971097,14.09245664,0.685221375,0.123073014,0.185589987,3.894002946,9.380455032,0,0,2.574662012,0.368761775,0,0.66779991,1.449479578,0.299777644,0.571437478,1.577351421,3.263703692,0,0.893432664,0.38204212,0.272954984,1.831007313,3.187860856,0,0,0.862512267,0,0.556221145,4.025201456,0,2.514135213,0.326661475,0.804080161,8.563082168,0,0
0,0,0.203464761,0.408841533,0.142198793,0.233271458,3.661569233,0,1.06578607,0.152827659,27.7701266,1.900508635,11.95893437,0.650050219,0.156826792,0.167910434,3.880588424,8.592924729,0,0,2.564068377,0.400976139,0,0.999716373,1.386220426,0.495557892,0.45594249,1.322560466,4.398782894,0,0.671004497,0,0.254678787,1.612469172,3.432163351,0,0,0.524951931,0,1.608365154,5.20720936,0,2.663170181,0.189560168,0.817381684,8.562506884,0,0
0,0,0.142061547,0.295488376,0.102662905,0.16989333,3.731624178,0.093380552,1.095551626,0.111807999,29.66525542,1.807855763,13.15469914,0.645590531,0.130264437,0.125453023,3.258413858,8.827485227,0,0,3.23897071,0.415934969,0,1.087213062,1.613091221,0.379477348,0.398063072,1.435429609,3.799587755,0,1.076509942,0.320357546,0.315240707,1.562507271,3.208613671,0,0,0.658246913,0,0.200404415,4.68889706,0,2.166459153,0.321929207,0.684086957,8.585596529,0,0
