sample_names,treatment,replicate,genotype,fragment,SE,TAG,12DAG,FFA,STEROL,AMPL,PE,PSPI,PC,LPC,lipid_AFDW_mgg
P_T1_1_8,Pellets,1,1,8,7.588354001,3.719982945,8.506601945,5.074760263,6.949875152,30.66070838,8.267302538,12.29738533,10.63228794,6.302741502,120.5186354
P_T1_1_26,Pellets,1,1,26,8.86654063,3.690857066,9.91677597,4.04110049,9.245172577,20.10913385,9.608808832,14.60617545,12.66382637,7.251608756,229.2972871
P_T1_2_34,Pellets,1,2,34,7.121317629,3.953002179,9.066734213,5.441155004,8.393394318,26.06369361,8.785165264,13.0676919,11.4103015,6.697544386,308.8939762
P_T1_3_2,Pellets,1,3,2,8.253992145,3.686827699,10.63909493,4.241235806,6.0614038,19.67660149,10.49821737,15.55875327,13.50138929,7.882484196,247.0249774
P_T1_4_38,Pellets,1,4,38,10.02366036,4.50729453,9.417793436,7.584756526,6.653203656,19.03729193,9.208440959,13.8474432,12.66448882,7.055626589,106.954694
P_T2_1_38,Pellets,2,1,38,8.737947464,4.80330934,10.33139565,5.204131515,6.629011134,17.65934744,10.26888822,15.21078354,13.477149,7.678036695,114.9957173
P_T2_2_5,Pellets,2,2,5,8.562876877,3.825348056,10.86884424,2.607340679,5.920759899,19.98577786,10.69216259,15.84618738,13.58041275,8.110289683,168.2342428
P_T2_2_24,Pellets,2,2,24,9.784018029,3.065647096,9.219407441,3.513807292,5.083460108,28.15169298,9.069538689,13.44139769,11.7218328,6.949197873,83.41712411
P_T2_4_1,Pellets,2,4,1,5.670157077,2.913169024,6.466479559,1.908361311,3.210325669,50.9653049,6.434469794,9.421986135,8.145176601,4.864569927,197.1405615
P_T2_5_5,Pellets,2,5,5,8.90445522,4.338019333,10.99795532,2.723012002,5.456817058,17.96888393,11.10274247,16.18272648,14.04285332,8.282534873,246.5126823
P_T3_2_11,Pellets,3,2,11,7.827582978,2.512949182,10.18221452,4.681855484,9.444683743,19.6718876,9.95586937,14.70086416,13.47030127,7.551791697,172.6853072
P_T3_2_33,Pellets,3,2,33,6.49158747,1.852637888,6.323623487,3.660405783,7.707772263,44.18194283,6.123454915,8.99957037,8.816023575,5.842981414,134.8951361
P_T3_3_5,Pellets,3,3,5,7.209419656,2.809234615,10.46034556,2.916020722,5.471818584,24.64341445,10.36520032,15.29734782,13.07714913,7.750049143,120.0040342
P_T3_5_8,Pellets,3,5,8,7.689241099,3.232850302,10.42036085,4.889038821,8.196325671,19.34841345,10.15788057,15.1095682,13.29033693,7.665984099,145.9788392
P_T3_5_26,Pellets,3,5,26,5.16670199,2.504290637,6.027648613,3.041151968,3.393257708,52.80463388,5.886769404,8.729093713,7.621552053,4.824900032,106.0213027
P_T4_1_50,Pellets,4,1,50,10.79234876,5.24237913,9.512691855,5.057066848,7.464976617,18.90842351,9.329556156,13.82675337,12.86079745,7.005006314,133.8055477
P_T4_2_6,Pellets,4,2,6,7.379252824,2.527551932,10.67395458,4.034847628,6.171274725,21.41230053,10.60937459,15.65770929,13.51990981,8.013824087,123.5594596
P_T4_2_26,Pellets,4,2,26,5.009794677,2.976616558,3.514810572,1.094732931,2.014196829,69.24094562,3.468269213,5.140105511,4.803120445,2.737407642,251.4248282
P_T4_4_3,Pellets,4,4,3,3.276466063,1.164529093,4.402860429,1.553545369,2.354109122,67.33084547,4.403289248,6.498537908,5.639223697,3.376593602,127.3790946
P_T4_5_6,Pellets,4,5,6,7.684650884,2.244453502,11.31858132,3.484999867,5.881410237,18.72114618,11.28478518,16.77665507,14.16569599,8.437621759,126.5411203
S_T1_5_9,SeaSim,1,5,9,7.893290487,4.348634381,10.69688597,3.924736039,7.53394455,18.6431806,10.51505843,15.5105308,13.14447129,7.789267451,79.11574863
S_T10_2_7,SeaSim,1,2,7,4.090263818,2.672152478,7.78192441,2.611789206,5.189356325,43.10475042,7.60893642,11.44214481,9.785586362,5.713095755,215.4327312
S_T2_5_5,SeaSim,1,5,5,3.056161448,1.300215224,4.201772513,0.786926316,2.084778784,73.8299471,0,6.159943377,5.351779804,3.228475438,85.9985859
S_T3_1_10,SeaSim,1,1,10,6.358518323,2.573550349,9.356379455,3.525955685,7.698929256,28.42291113,9.23248697,13.78324811,11.90300572,7.145015001,49.7947814
S_T4_2_4,SeaSim,1,2,4,6.540421579,2.336035884,11.08573431,2.978675159,6.557491799,21.06746474,10.97256362,16.32138685,13.9015836,8.238642458,166.7547811
S_T5_4_9,SeaSim,1,4,9,5.393755699,1.644066106,7.777989716,1.925772448,4.171957496,44.37492356,7.68987742,11.444771,9.808334978,5.768551579,100.9701615
S_T6_1_9,SeaSim,1,1,9,4.426175512,2.318297524,6.450073624,3.180602168,4.431148172,50.90276176,6.249765508,9.262387708,7.9180801,4.86070793,179.6012474
S_T7_3_9,SeaSim,1,3,9,4.900410249,2.091915949,7.306733173,3.3699202,5.201751874,44.85629215,7.135958986,10.65932621,9.124660829,5.353030384,167.3547724
S_T8_3_3,SeaSim,1,3,3,5.509969908,2.623544091,8.608930826,2.889351197,5.115788717,37.37728891,8.417558929,12.42939072,10.61088427,6.417292431,288.0505398
S_T9_4_10,SeaSim,1,4,10,3.037469162,1.551299353,4.168107262,2.367565534,2.563560421,67.84312167,4.055633752,5.985455008,5.271224571,3.156563262,103.7873217
AL_T1_na_na,Algae,1,na,na,10.45753933,2.851046932,0,2.85034771,7.230034828,22.47514492,14.39462115,21.15560706,18.58565807,0,11876.47059
AL_T2_na_na,Algae,2,na,na,9.163352475,7.023972809,0,6.33412685,6.753454462,32.30081255,0,20.81705913,17.60722172,0,2127.39726
AL_T3_na_na,Algae,3,na,na,4.733220633,11.91339488,0,8.154284782,3.209227814,39.45756277,14.4491202,9.742691226,8.340497697,0,18797.47475
A_T1_na_na,Artemia,1,na,na,3.145634802,63.33209418,0,1.911248954,3.025933498,0,4.221332958,13.62228915,10.74146646,0,645.7478875
A_T2_na_na,Artemia,2,na,na,1.520227411,73.90764451,0,1.251981716,2.137734428,0,2.291319711,9.618059208,9.273033014,0,342.8678288
A_T3_na_na,Artemia,3,na,na,1.604403614,72.98797664,0,1.56444728,2.26671794,0,2.563539763,9.842944011,9.169970755,0,351.5953669
P_T1_na_na,Pellets_D,1,na,na,0.700311479,75.30444322,0,4.218063717,6.527278724,10.8096343,0,0,1.757273041,0.68299552,189.9933044
P_T2_na_na,Pellets_D,2,na,na,0.773399443,74.1639352,0,4.399428471,6.395914382,11.76834913,0,0,1.673595255,0.825378112,186.6935047
P_T3_na_na,Pellets_D,3,na,na,0.900650654,76.44419148,0,4.532004189,6.54519657,9.069248979,0,0,1.803570191,0.705137938,10.72513833
R_T1_na_na,Rotifers,1,na,na,10.36946846,5.807513485,0,3.836186236,7.531811624,23.90759081,16.28786437,0,19.88167235,12.37789266,1234.398764
R_T2_na_na,Rotifers,2,na,na,14.77158355,11.64709091,0,6.23288714,5.510231053,17.0209884,19.70981394,0,19.03603388,6.071371133,830.9920346
R_T3_na_na,Rotifers,3,na,na,16.63865784,18.80203453,0,2.725612722,4.588211007,14.30274709,20.45090691,0,18.40561238,4.086217515,348.5122168
